Siren,CA2013,CA2014,CA2015,CA2016,CA2017,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017
340051762,14783310,14628150,25594890,29583160,29567850,-761650,-1046020,-939340,-1695280,-2001430,75,78,152,139,133
340058049,14138931,16059056,17365565,20013636,22473621,378101,477001,761755,823070,585955,42,45,36,40,41
343076717,326310,283470,427740,553200,525200,8910,25530,24030,41880,-13590,5,5,6,7,5
343090734,4425596,5888165,4509530,7732270,4954609,-249682,7521,8338,12349,10332,33,33,32,29,28
343159380,18168541,19264911,20532634,22844678,25821064,201167,218333,223844,536613,863413,118,114,112,128,124
343161014,3979741,3779325,3404763,3411594,3729332,52115,58708,3900,-67098,40314,34,34,33,33,37
652002684,953596,919477,888216,758773,834018,5172,18682,50941,24346,32485,12,12,10,10,10
652003112,4079368,3265656,3358887,3719481,4033103,63657,23302,-194797,-29381,7801,2,2,2,2,2
652015942,91919396,80351833,69419135,60679721,55447929,-6994078,-12995258,-10722745,-13455297,-2636623,240,226,218,230,206
652029950,8475243,8507457,9544170,11046622,10906745,503222,387896,548330,627523,581400,11,9,9,8,8
652038969,10428080,8921270,8646310,8445010,8856839,48530,821030,150270,-169630,463014,37,38,38,40,39
652720152,5948720,6077799,5966799,5925569,6411575,207454,252068,239961,295766,254320,94,97,89,88,89
652880634,34403370,36255480,25983240,20796100,23564250,890360,1175610,636660,784430,802660,192,178,163,136,123
655520146,38978530,37224800,38737820,39123830,41191170,781150,1857470,1808990,1602080,999940,125,125,126,130,139
622020105,976529,920694,812729,623534,588980,40334,47449,9551,-146248,-125086,13,12,11,11,10
622029528,6892130,9512516,10508884,12240395,14751219,97938,-937959,3750,359582,-1209921,61,62,80,87,99
623720208,144865090,106307268,98628987,91711070,92370050,-807948,-3313049,-902975,710377,3138826,2,2,2,2,2
409211349,1177942,1178740,1133797,1161050,1123455,147228,157635,144819,145895,138781,11,13,13,13,10
