Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018
592031546,21393183,22781898,21040581,21868643,21951982,21632383,2124916,2532700,1832958,1893479,1678643,-343425,78,77,77,76,109,75
320575095,1169929,1277084,1202367,1358659,1213249,1171624,61133,74573,3461,10574,26528,-48245,9,8,8,8,10,10
320595721,35033823,39842671,52128491,56802430,58717596,60699133,866635,785166,684932,1008726,1250817,1517870,117,112,124,155,168,178
482547031,8946666,8362938,7827296,6691923,6472556,5841065,1279894,1040210,969037,801749,890372,801524,3,4,4,4,3,3
320797293,24933055,27056069,28559140,30277405,32023706,38368778,122340,150069,185048,211107,195740,496748,63,64,71,72,84,110
321008161,4637030,3130400,5598310,4068380,3906580,6803759,286420,224170,231960,210880,266740,336011,18,29,29,30,34,39
328552187,22465149,24350174,25634927,24860729,25529824,26077384,1509903,1860947,2086975,1932408,1986194,2077418,199,200,227,224,218,218
444598544,1445992,1623483,1683247,1743347,1662063,1825895,4813,30477,129540,159006,117702,25947,9,9,13,13,13,14
445363005,188123,134040,124434,142837,168009,168446,11669,4042,-3950,689,-9139,5229,4,3,1,0,1,1
328739313,13907e3,17013e3,14830500,17082500,20779440,21790090,1048e3,1066200,1108160,768950,640410,429450,104,105,103,102,102,106
324430123,11356330,12377490,9763910,11267810,9616620,11918993,126600,211150,231950,427290,338200,308908,55,54,51,47,46,43
324591312,1716610,1341570,1489150,1524450,1622980,1669285,-62760,58710,61610,60160,69160,63549,10,8,8,8,9,10
446840225,2306159,2202158,2321225,2810833,2898647,2738560,195402,149494,150437,188773,205296,157793,19,19,21,29,0,28
447478207,7845e3,5966e3,6158e3,6295e3,686e4,6751e3,-162e3,-78e3,-15e3,15e3,69e3,-53e3,55,55,83,80,90,94
482415296,237561,248476,325762,305289,241463,359468,18636,-14454,38777,28360,73354,127367,1,1,1,1,1,1
482125366,289960,179460,223690,268520,360260,289812,3740,560,-8880,7010,26840,9264,3,3,2,3,3,1
324834928,143370,157340,170540,188780,186550,225070,76400,-55870,-72800,138620,92090,-27970,1,1,1,1,1,1
325040004,760926,843248,955289,893670,891667,891967,2097,15818,21519,-1531,2906,15903,8,8,7,8,0,9
325049377,1078712,1104905,1208316,1209304,1299371,1292513,21677,48167,57835,66631,86688,95570,9,8,9,9,9,9
325059269,836920,859136,863294,906315,901614,980686,9466,19162,44216,28831,100816,55556,8,7,6,8,8,9
325099638,3194553,2562179,2247471,1800094,2038895,2314130,9260,-31075,14351,12961,13375,10308,4,4,3,4,4,3
662054543,96503514,101273327,100726849,101299490,97186460,97226906,-6794714,-3308255,-1986862,-3292969,-3347529,-7214387,939,944,974,940,838,912
663620052,11799631,11354392,11166294,11219260,10939987,11582843,483958,731973,576049,624811,529553,427916,88,86,86,85,85,88
665480125,13947240,21376480,23110200,29382040,31554920,36299288,67590,77200,104780,113470,156e3,98133,12,13,13,11,25,18
667250088,1955779,1807195,1368441,1900923,2595272,2895178,172924,35267,-149514,195631,719512,1010643,7,6,12,12,12,12
670801554,5582187,5640370,5854677,5852467,5872170,5931686,52781,159861,171310,113525,253362,135416,87,3,89,102,103,100
327359980,341409816,339850604,353857531,343449921.3333333,340381641,344498579,11579973,-4401229,20865765,12775993.333333332,43888547,9881964,2292,2304,2132,2781.333333333333,2033,2241
